Player,Year,Pos,Age,G,MP,PTS,TRB,AST
David West,2018,C,37,73,13.7,6.8,3.3,1.9
Draymond Green,2018,PF,27,70,32.7,11.0,7.6,7.3
JaVale McGee,2018,C,30,65,9.5,4.8,2.6,0.5
Jordan Bell,2018,C,23,57,14.2,4.6,3.6,1.8
Kevin Durant,2018,SF,29,68,34.2,26.4,6.8,5.4
Kevon Looney,2018,C,21,66,13.8,4.0,3.3,0.6
Klay Thompson,2018,SG,27,73,34.3,20.0,3.8,2.5
Nick Young,2018,SG,32,80,17.4,7.3,1.6,0.5
Omri Casspi,2018,SF,29,53,14.0,5.7,3.8,1.0
Patrick McCaw,2018,SG,22,57,16.9,4.0,1.4,1.4
Quinn Cook,2018,PG,24,33,22.4,9.5,2.5,2.7
Shaun Livingston,2018,PG,32,71,15.9,5.5,1.8,2.0
Stephen Curry,2018,PG,29,51,32.0,26.4,5.1,6.1
Zaza Pachulia,2018,C,33,69,14.1,5.4,4.7,1.6
Andre Iguodala,2020,SF,36,21,19.9,4.6,3.7,2.4
Bam Adebayo,2020,PF,22,72,33.6,15.9,10.2,5.1
Chris Silva,2020,PF,23,44,7.9,3.0,2.9,0.5
Daryl Macon,2020,PG,24,4,3.5,0.8,0.0,0.3
Derrick Jones Jr.,2020,SF,22,59,23.3,8.5,3.9,1.1
Duncan Robinson,2020,SG,25,73,29.7,13.5,3.2,1.4
Gabe Vincent,2020,PG,23,9,9.2,2.4,0.6,0.7
Goran DragiÄ‡,2020,PG,33,59,28.2,16.2,3.2,5.1
Jae Crowder,2020,SF-PF,29,65,28.8,10.5,5.9,2.5
Jimmy Butler,2020,SF,30,58,33.8,19.9,6.7,6.0
Justise Winslow,2020,SG,23,11,32.0,11.3,6.6,4.0
KZ Okpala,2020,PF,20,5,5.2,1.4,1.0,0.2
Kelly Olynyk,2020,C,28,67,19.4,8.2,4.6,1.7
Kendrick Nunn,2020,PG,24,67,29.3,15.3,2.7,3.3
Kyle Alexander,2020,C,23,2,6.5,1.0,1.5,0.0
Meyers Leonard,2020,C,27,51,20.3,6.1,5.1,1.1
Solomon Hill,2020,PF,28,59,18.4,5.5,2.8,1.8
Tyler Herro,2020,SG,20,55,27.4,13.5,4.1,2.2
Udonis Haslem,2020,C,39,4,11.0,3.0,4.0,0.3
Andre Iguodala,2021,SF,37,63,21.3,4.4,3.5,2.3
Bam Adebayo,2021,C,23,64,33.5,18.7,9.0,5.4
Dewayne Dedmon,2021,C,31,16,13.1,7.1,5.4,0.8
Duncan Robinson,2021,SF,26,72,31.4,13.1,3.5,1.8
Gabe Vincent,2021,PG,24,50,13.1,4.8,1.1,1.3
Goran DragiÄ‡,2021,PG,34,50,26.7,13.4,3.4,4.4
Jimmy Butler,2021,SF,31,52,33.6,21.5,6.9,7.1
KZ Okpala,2021,PF,21,37,12.1,2.5,1.8,0.5
Kendrick Nunn,2021,PG,25,56,29.5,14.6,3.2,2.6
Max Strus,2021,SF,24,39,13.0,6.1,1.1,0.6
Meyers Leonard,2021,C,28,3,9.7,3.3,2.3,0.7
Nemanja Bjelica,2021,PF,32,37,16.1,6.5,3.4,1.9
Precious Achiuwa,2021,PF,21,61,12.1,5.0,3.4,0.5
Trevor Ariza,2021,SF,35,30,28.0,9.4,4.8,1.8
Tyler Herro,2021,SG,21,54,30.3,15.1,5.0,3.4
Udonis Haslem,2021,C,40,1,3.0,4.0,1.0,0.0
Victor Oladipo,2021,SG,28,33,32.7,19.8,4.8,4.6
Andre Iguodala,2022,SF,38,31,19.5,4.0,3.2,3.7
Andrew Wiggins,2022,SF,26,73,31.9,17.2,4.5,2.2
Chris Chiozza,2022,PG,26,34,10.9,2.0,1.1,1.9
Damion Lee,2022,SG,29,63,19.9,7.4,3.2,1.0
Draymond Green,2022,PF,31,46,28.9,7.5,7.3,7.0
Gary Payton II,2022,SG,29,71,17.6,7.1,3.5,0.9
Jonathan Kuminga,2022,SF,19,70,16.9,9.3,3.3,0.9
Jordan Poole,2022,SG,22,76,30.0,18.5,3.4,4.0
Juan Toscano-Anderson,2022,SF,28,73,13.6,4.1,2.4,1.7
Kevon Looney,2022,C,25,82,21.1,6.0,7.3,2.0
Klay Thompson,2022,SG,31,32,29.4,20.4,3.9,2.8
Moses Moody,2022,SG,19,52,11.7,4.4,1.5,0.4
Nemanja Bjelica,2022,C,33,71,16.1,6.1,4.1,2.2
Otto Porter Jr.,2022,PF,28,63,22.2,8.2,5.7,1.5
Quinndary Weatherspoon,2022,SG,25,11,6.6,2.7,1.3,0.5
Stephen Curry,2022,PG,33,64,34.5,25.5,5.2,6.3
Andre Miller,2003,PG,26,80,36.4,13.6,4.0,6.7
Cherokee Parks,2003,PF,30,30,21.6,6.3,4.4,0.7
Chris Wilcox,2003,PF,20,46,10.4,3.7,2.3,0.5
Corey Maggette,2003,SG,23,64,31.3,16.8,5.0,1.9
Elton Brand,2003,PF,23,62,39.6,18.5,11.3,2.5
Eric Piatkowski,2003,SG,32,62,21.9,9.7,2.5,1.1
Keyon Dooling,2003,SG,22,55,17.6,6.4,1.3,1.6
Lamar Odom,2003,SF,23,49,34.3,14.6,6.7,3.6
Marko JariÄ‡,2003,SF,24,66,20.9,7.4,2.4,2.9
Melvin Ely,2003,C,24,52,15.4,4.5,3.3,0.3
Michael Olowokandi,2003,C,27,36,38.0,12.3,9.1,1.3
Quentin Richardson,2003,SG,22,59,23.2,9.4,4.8,0.9
Sean Rooks,2003,C,33,70,19.2,4.2,3.1,1.0
Tremaine Fowlkes,2003,SF,26,37,15.5,4.4,2.8,0.6
Wang Zhizhi,2003,C,25,41,10.0,4.4,1.9,0.2
Andre Miller,2004,PG,27,82,34.6,14.8,4.5,6.1
Carmelo Anthony,2004,SF,19,82,36.5,21.0,6.1,2.8
Chris Andersen,2004,PF,25,71,14.5,3.4,4.2,0.5
Earl Boykins,2004,SG,27,82,22.5,10.2,1.7,3.6
Francisco Elson,2004,C,27,62,14.1,3.5,3.3,0.5
Jeff Trepagnier,2004,SG,24,11,8.7,2.3,1.4,0.4
Jon Barry,2004,SG,34,57,19.3,6.2,2.2,2.6
Marcus Camby,2004,C,29,72,30.0,8.6,10.1,1.8
Mark Pope,2004,PF,31,4,5.0,0.5,0.8,0.0
Michael Doleac,2004,C,26,72,14.3,4.5,3.7,0.6
NenÃª,2004,PF,21,77,32.5,11.8,6.5,2.2
Nikoloz Tskitishvili,2004,PF,20,39,7.9,2.7,1.6,0.3
Rodney White,2004,SF,23,72,13.7,7.5,2.3,0.8
Ryan Bowen,2004,PF,28,52,7.5,0.9,1.7,0.3
Voshon Lenard,2004,SG,30,73,30.6,14.2,2.7,2.1
Andre Miller,2005,PG,28,82,34.8,13.6,4.1,6.9
Bryon Russell,2005,SF,34,70,14.7,4.4,2.5,1.0
Carmelo Anthony,2005,SF,20,75,34.8,20.8,5.7,2.6
DerMarr Johnson,2005,SG,24,71,17.4,7.1,2.1,1.1
Earl Boykins,2005,PG,28,82,26.4,12.4,1.7,4.5
Eduardo NÃ¡jera,2005,PF,28,68,17.4,5.2,3.6,1.0
Francisco Elson,2005,C,28,67,14.0,3.7,3.0,0.5
Greg Buckner,2005,SG,28,70,21.7,6.2,3.0,1.9
Kenyon Martin,2005,PF,27,70,32.5,15.5,7.3,2.4
Luis Flores,2005,PG,23,16,4.8,2.2,0.2,0.7
Marcus Camby,2005,C,30,66,30.5,10.3,10.0,2.3
Mark Pope,2005,PF,32,9,3.0,0.4,0.9,0.1
NenÃª,2005,C,22,55,23.9,9.6,5.9,1.5
Voshon Lenard,2005,SG,31,3,18.0,9.7,2.0,2.0
Wesley Person,2005,SF,33,41,16.3,6.4,2.0,1.0
Andre Miller,2006,PG,29,82,35.8,13.7,4.3,8.2
Bryon Russell,2006,SF,35,1,3.0,0.0,1.0,1.0
Carmelo Anthony,2006,SF,21,80,36.8,26.5,4.9,2.7
Charles Smith,2006,SG,30,22,9.5,3.6,0.7,0.4
DerMarr Johnson,2006,SG,25,58,15.9,6.1,1.7,0.9
Earl Boykins,2006,PG,29,60,25.7,12.6,1.4,3.8
Eduardo NÃ¡jera,2006,PF,29,64,22.6,5.4,5.1,0.8
Francisco Elson,2006,C,29,72,21.9,4.9,4.7,0.7
Greg Buckner,2006,SG,29,73,24.1,6.7,2.9,1.7
Howard Eisley,2006,PG,33,32,12.3,3.2,1.0,2.2
Julius Hodge,2006,SG,22,14,2.4,0.9,0.5,0.4
Kenyon Martin,2006,PF,28,56,27.6,12.9,6.3,1.4
Linas Kleiza,2006,PF,21,61,8.5,3.5,1.9,0.2
Marcus Camby,2006,C,31,56,33.2,12.8,11.9,2.1
NenÃª,2006,PF,23,1,3.0,0.0,0.0,0.0
Reggie Evans,2006,PF,25,67,20.8,5.6,7.5,0.6
Ruben Patterson,2006,SF-SG,30,71,25.2,12.1,3.4,1.8
Andre Miller,2010,PG,33,82,30.5,14.0,3.2,5.4
Brandon Roy,2010,SG,25,65,37.2,21.5,4.4,4.7
Dante Cunningham,2010,PF,22,63,11.2,3.9,2.5,0.2
Greg Oden,2010,C,22,21,23.9,11.1,8.5,0.9
Jeff Ayres,2010,C,22,39,10.4,2.7,2.5,0.0
Jerryd Bayless,2010,SG,21,74,17.6,8.5,1.6,2.3
Joel Przybilla,2010,C,30,30,22.7,4.1,7.9,0.3
Juwan Howard,2010,C,36,73,22.4,6.0,4.6,0.8
LaMarcus Aldridge,2010,PF,24,78,37.5,17.9,8.0,2.1
Marcus Camby,2010,PF-C,35,74,31.3,7.5,11.8,2.5
Martell Webster,2010,SF,23,82,24.5,9.4,3.3,0.8
Nicolas Batum,2010,SF,21,37,24.8,10.1,3.8,1.2
Patty Mills,2010,PG,21,10,3.8,2.6,0.2,0.5
Rudy FernÃ¡ndez,2010,SG,24,62,23.2,8.1,2.6,2.0
Shavlik Randolph,2010,PF,26,6,8.8,2.3,2.3,0.2
Travis Diener,2010,PG,27,9,5.7,0.7,0.3,0.9
Andre Miller,2011,PG,34,81,32.7,12.7,3.7,7.0
Armon Johnson,2011,PG,21,38,7.3,2.9,0.9,1.2
Brandon Roy,2011,SG,26,47,27.9,12.2,2.6,2.7
Earl Barron,2011,C,29,21,14.5,3.8,3.6,0.5
Fabricio Oberto,2011,C,35,5,9.0,1.4,1.4,0.0
Gerald Wallace,2011,SF-PF,28,71,37.9,15.7,8.0,2.4
Jarron Collins,2011,C,32,28,6.5,0.7,0.9,0.1
LaMarcus Aldridge,2011,PF,25,81,39.6,21.8,8.8,2.1
Luke Babbitt,2011,SF,21,24,5.7,1.5,1.3,0.3
Marcus Camby,2011,C,36,59,26.1,4.7,10.3,2.1
Nicolas Batum,2011,SF,22,80,31.5,12.4,4.5,1.5
Patty Mills,2011,PG,22,64,12.2,5.5,0.8,1.7
Rudy FernÃ¡ndez,2011,SG,25,78,23.3,8.6,2.2,2.5
Sean Marks,2011,C,35,29,7.2,1.6,1.4,0.1
Wesley Matthews,2011,SG,24,82,33.6,15.9,3.1,2.0
Andre Miller,2015,PG,38,81,15.5,4.4,1.9,3.5
Ben McLemore,2015,SG,21,82,32.6,12.1,2.9,1.7
Carl Landry,2015,PF,31,70,17.0,7.2,3.8,0.4
Darren Collison,2015,PG,27,45,34.8,16.1,3.2,5.6
David Stockton,2015,PG,23,3,11.0,2.7,0.7,3.0
David Wear,2015,PF,24,2,3.5,0.0,1.0,0.5
DeMarcus Cousins,2015,C,24,59,34.1,24.1,12.7,3.6
Derrick Williams,2015,PF,23,74,19.8,8.3,2.7,0.7
Eric Moreland,2015,PF,23,3,0.7,0.7,0.3,0.0
Jason Thompson,2015,PF,28,81,24.6,6.1,6.5,1.0
Nik Stauskas,2015,SG,21,73,15.4,4.4,1.2,0.9
Omri Casspi,2015,SF,26,67,21.1,8.9,3.9,1.5
Ray McCallum,2015,PG,23,68,21.1,7.4,2.6,2.8
Reggie Evans,2015,PF,34,47,16.3,3.7,6.4,0.7
Rudy Gay,2015,SF,28,68,35.4,21.1,5.9,3.7
Ryan Hollins,2015,C,30,46,9.6,3.0,2.2,0.3
Sim Bhullar,2015,C,22,3,1.0,0.7,0.3,0.3
Andre Miller,2016,PG,39,39,11.8,3.7,1.3,2.2
Boban MarjanoviÄ‡,2016,C,27,54,9.4,5.5,3.6,0.4
Boris Diaw,2016,PF,33,76,18.2,6.4,3.1,2.3
Danny Green,2016,SG,28,79,26.1,7.2,3.8,1.8
David West,2016,PF,35,78,18.0,7.1,4.0,1.8
Jonathon Simmons,2016,SG,26,55,14.8,6.0,1.7,1.1
Kawhi Leonard,2016,SF,24,72,33.1,21.2,6.8,2.6
Kevin Martin,2016,SG,32,55,19.9,9.3,2.0,1.1
Kyle Anderson,2016,SF,22,78,16.0,4.5,3.1,1.6
LaMarcus Aldridge,2016,PF,30,74,30.6,18.0,8.5,1.5
Manu GinÃ³bili,2016,SG,38,58,19.6,9.6,2.5,3.1
Matt Bonner,2016,C,35,30,6.9,2.5,0.9,0.3
Patty Mills,2016,PG,27,81,20.5,8.5,2.0,2.8
Rasual Butler,2016,SF,36,46,9.4,2.7,1.2,0.5
Tim Duncan,2016,C,39,61,25.2,8.6,7.3,2.7
Tony Parker,2016,PG,33,72,27.5,11.9,2.4,5.3
Andre Owens,2006,PG,25,23,9.1,3.0,0.9,0.3
Andrei Kirilenko,2006,SF,24,69,37.7,15.3,8.0,4.3
C.J. Miles,2006,PG,18,23,8.8,3.4,1.7,0.7
Carlos Boozer,2006,PF,24,33,31.1,16.3,8.6,2.7
Deron Williams,2006,PG,21,80,28.8,10.8,2.4,4.5
Devin Brown,2006,SG,27,81,21.1,7.5,2.6,1.3
Gordan GiriÄek,2006,SG,28,37,25.8,10.6,1.9,1.7
Greg Ostertag,2006,C,32,60,13.5,2.4,3.8,1.0
Jarron Collins,2006,C,27,79,21.9,5.3,4.2,1.2
Keith McLeod,2006,PG,26,66,18.7,5.6,1.2,2.3
Kris Humphries,2006,PF,20,62,10.0,3.0,2.5,0.5
Matt Harpring,2006,SF,29,71,27.4,12.5,5.2,1.4
Mehmet Okur,2006,PF,26,82,35.9,18.0,9.1,2.4
Milt Palacio,2006,PG,27,71,19.4,6.2,1.9,2.7
Robert Whaley,2006,C,23,23,9.2,2.1,1.9,0.7
Andre Owens,2008,PG,27,31,12.6,4.0,1.5,1.5
Courtney Sims,2008,C,24,3,3.7,0.0,0.7,0.3
Danny Granger,2008,SF,24,80,36.0,19.6,6.1,2.1
David Harrison,2008,C,25,55,12.8,4.2,2.1,0.3
Ike Diogu,2008,PF,24,30,10.2,5.6,2.8,0.3
Jamaal Tinsley,2008,PG,29,39,33.2,11.9,3.6,8.4
Jeff Foster,2008,C,31,77,24.5,6.4,8.7,1.7
Jermaine O'Neal,2008,C,29,42,28.7,13.6,6.7,2.2
Kareem Rush,2008,SG,27,71,21.2,8.3,2.4,1.3
Marquis Daniels,2008,SG,27,74,20.9,8.2,2.9,1.9
Mike Dunleavy,2008,SG,27,82,36.0,19.1,5.2,3.5
Ronald Murray,2008,PG,28,42,20.8,9.4,2.0,3.4
Shawne Williams,2008,SF,21,65,14.9,6.7,2.7,0.9
Stephen Graham,2008,SF,25,22,5.8,4.0,1.0,0.4
Travis Diener,2008,PG,25,66,20.5,6.9,1.7,3.8
Troy Murphy,2008,PF,27,75,28.1,12.2,7.2,2.2
Andre Roberson,2014,SG,22,40,10.0,1.9,2.4,0.4
Caron Butler,2014,SF,33,56,25.3,10.5,4.1,1.5
Derek Fisher,2014,SG,39,81,17.6,5.2,1.5,1.4
Hasheem Thabeet,2014,C,26,23,8.3,1.2,1.7,0.0
Jeremy Lamb,2014,SG,21,78,19.7,8.5,2.4,1.5
Kendrick Perkins,2014,C,29,62,19.5,3.4,4.9,1.1
Kevin Durant,2014,SF,25,81,38.5,32.0,7.4,5.5
Mustafa Shakur,2014,PG,29,3,3.7,0.3,0.0,1.3
Nick Collison,2014,PF,33,81,16.7,4.2,3.6,1.3
Perry Jones,2014,PF,22,62,12.3,3.5,1.8,0.4
Reggie Jackson,2014,PG,23,80,28.5,13.1,3.9,4.1
Reggie Williams,2014,SF,27,3,5.7,3.7,0.0,0.3
Royal Ivey,2014,SG,32,2,2.5,0.0,0.5,0.0
Russell Westbrook,2014,PG,25,46,30.7,21.8,5.7,6.9
Ryan Gomes,2014,SF,31,5,6.8,1.2,0.8,0.2
Serge Ibaka,2014,PF,24,81,32.9,15.1,8.8,1.0
Steven Adams,2014,C,20,81,14.8,3.3,4.1,0.5
Thabo Sefolosha,2014,SG,29,61,26.0,6.3,3.6,1.5
Andre Roberson,2015,SG,23,67,19.2,3.4,3.8,1.0
Anthony Morrow,2015,SG,29,74,24.4,10.7,2.6,0.8
D.J. Augustin,2015,PG,27,82,24.0,9.5,2.0,4.3
Dion Waiters,2015,SG,23,80,27.6,11.8,2.4,2.0
Enes Freedom,2015,C,22,75,28.5,15.5,8.9,0.7
Jeremy Lamb,2015,SG,22,47,13.5,6.3,2.3,0.9
Kevin Durant,2015,SF,26,27,33.8,25.4,6.6,4.1
Kyle Singler,2015,SF,26,80,21.8,6.0,2.4,1.1
Mitch McGary,2015,PF,22,32,15.2,6.3,5.2,0.4
Nick Collison,2015,PF,34,66,16.7,4.1,3.8,1.4
Perry Jones,2015,SF,23,43,14.7,4.3,1.8,0.4
Russell Westbrook,2015,PG,26,67,34.4,28.1,7.3,8.6
Sebastian Telfair,2015,PG,29,16,20.4,8.4,1.9,2.8
Serge Ibaka,2015,PF,25,64,33.1,14.3,7.8,0.9
Steve Novak,2015,SF-PF,31,35,5.6,1.8,0.6,0.3
Steven Adams,2015,C,21,70,25.3,7.7,7.5,0.9
Andre Roberson,2016,SG,24,70,22.2,4.8,3.6,0.7
Anthony Morrow,2016,SG,30,68,13.6,5.6,0.9,0.4
Cameron Payne,2016,PG,21,57,12.2,5.0,1.5,1.9
Dion Waiters,2016,SG,24,78,27.6,9.8,2.6,2.0
Enes Freedom,2016,C,23,82,21.0,12.7,8.1,0.4
Josh Huestis,2016,PF,24,5,11.0,2.8,2.0,0.0
Kevin Durant,2016,SF,27,72,35.8,28.2,8.2,5.0
Kyle Singler,2016,SF,27,68,14.4,3.4,2.1,0.4
Mitch McGary,2016,PF,23,20,3.6,1.3,0.9,0.2
Nazr Mohammed,2016,C,38,5,3.8,1.6,0.8,0.0
Nick Collison,2016,PF,35,59,11.8,2.1,2.9,0.9
Randy Foye,2016,SG,32,81,20.3,5.9,1.9,2.0
Russell Westbrook,2016,PG,27,80,34.4,23.5,7.8,10.4
Serge Ibaka,2016,PF,26,78,32.1,12.6,6.8,0.8
Steven Adams,2016,C,22,80,25.2,8.0,6.7,0.8
Andre Roberson,2017,SF,25,79,30.1,6.6,5.1,1.0
Domantas Sabonis,2017,PF,20,81,20.1,5.9,3.6,1.0
Doug McDermott,2017,SF,25,66,22.8,9.0,2.7,0.9
Enes Freedom,2017,C,24,72,21.3,14.3,6.7,0.9
Jerami Grant,2017,PF,22,80,19.1,5.5,2.6,0.6
Josh Huestis,2017,PF,25,2,15.5,7.0,4.5,1.5
Kyle Singler,2017,SF,28,32,12.0,2.8,1.5,0.3
Nick Collison,2017,PF,36,20,6.4,1.7,1.6,0.6
Norris Cole,2017,PG,28,13,9.6,3.3,0.8,1.1
Russell Westbrook,2017,PG,28,81,34.6,31.6,10.7,10.4
Semaj Christon,2017,PG,24,64,15.2,2.9,1.4,2.0
Steven Adams,2017,C,23,80,29.9,11.3,7.7,1.1
Taj Gibson,2017,PF,31,78,25.5,10.8,6.2,0.9
Victor Oladipo,2017,SG,24,67,33.2,15.9,4.3,2.6
Ãlex Abrines,2017,SG,23,68,15.5,6.0,1.3,0.6
Andre Roberson,2018,SG,26,39,26.6,5.0,4.7,1.2
Carmelo Anthony,2018,PF,33,78,32.1,16.2,5.8,1.3
Corey Brewer,2018,SF-SG,31,72,16.8,5.3,2.1,0.9
Dakari Johnson,2018,C,22,31,5.2,1.8,1.1,0.3
Daniel Hamilton,2018,SG,22,6,4.7,2.0,0.8,1.3
Jerami Grant,2018,PF,23,81,20.3,8.4,3.9,0.7
Josh Huestis,2018,PF,26,69,14.2,2.3,2.3,0.3
Kyle Singler,2018,SF,29,12,4.9,1.9,0.8,0.2
Nick Collison,2018,PF,37,15,5.0,2.1,1.3,0.3
PJ Dozier,2018,PG,21,2,1.5,1.0,0.5,0.0
Patrick Patterson,2018,PF,28,82,15.5,3.9,2.4,0.7
Paul George,2018,SF,27,79,36.6,21.9,5.7,3.3
Raymond Felton,2018,PG,33,82,16.6,6.9,1.9,2.5
Russell Westbrook,2018,PG,29,80,36.4,25.4,10.1,10.3
Steven Adams,2018,C,24,76,32.7,13.9,9.0,1.2
Terrance Ferguson,2018,SG,19,61,12.5,3.1,0.8,0.3
Ãlex Abrines,2018,SG,24,75,15.1,4.7,1.5,0.4
Andrea Bargnani,2007,PF,21,65,25.1,11.6,3.9,0.8
Anthony Parker,2007,SG,31,73,33.4,12.4,3.9,2.1
Chris Bosh,2007,C,22,69,38.5,22.6,10.7,2.5
Darrick Martin,2007,PG,35,31,7.1,3.0,0.4,1.4
Joey Graham,2007,SF,24,79,16.7,6.4,3.1,0.6
Jorge Garbajosa,2007,PF,29,67,28.5,8.5,4.9,1.9
JosÃ© CalderÃ³n,2007,PG,25,77,21.0,8.7,1.7,5.0
Juan Dixon,2007,SG,28,81,23.8,9.6,2.0,1.5
Kris Humphries,2007,PF,21,60,11.2,3.8,3.1,0.3
Luke Jackson,2007,SF,25,13,10.6,3.7,0.8,1.0
Morris Peterson,2007,SF,29,71,21.3,8.9,3.3,0.7
P.J. Tucker,2007,SF,21,17,4.9,1.8,1.4,0.2
Pape Sow,2007,C,25,7,4.9,1.4,1.6,0.3
Rasho NesteroviÄ‡,2007,C,30,80,21.0,6.2,4.5,0.9
T.J. Ford,2007,PG,23,75,29.9,14.0,3.1,7.9
UroÅ¡ Slokar,2007,C,23,20,3.6,1.9,0.7,0.1
Andrea Bargnani,2008,PF,22,78,23.9,10.2,3.7,1.1
Anthony Parker,2008,SG,32,82,32.1,12.5,4.1,2.2
Carlos Delfino,2008,SG,25,82,23.5,9.0,4.4,1.8
Chris Bosh,2008,C,23,67,36.2,22.3,8.7,2.6
Darrick Martin,2008,PG,36,17,8.3,1.6,0.4,1.2
Jamario Moon,2008,SF,27,78,27.8,8.5,6.2,1.2
Jason Kapono,2008,SF,26,81,18.9,7.2,1.5,0.8
Joey Graham,2008,SF,25,38,8.7,3.6,1.8,0.4
Jorge Garbajosa,2008,PF,30,7,10.6,3.1,2.1,0.4
JosÃ© CalderÃ³n,2008,PG,26,82,30.3,11.2,2.9,8.3
Kris Humphries,2008,PF,22,70,13.2,5.7,3.7,0.4
Linton Johnson,2008,PF,27,8,7.9,2.6,1.8,0.5
Maceo Baston,2008,PF,32,15,6.9,2.7,1.7,0.2
PrimoÅ¾ Brezec,2008,C,28,50,9.5,2.2,1.6,0.2
Rasho NesteroviÄ‡,2008,C,31,71,20.9,7.8,4.8,1.2
T.J. Ford,2008,PG,24,51,23.5,12.1,2.0,6.1
Andrea Bargnani,2009,PF,23,78,31.4,15.4,5.3,1.2
Anthony Parker,2009,SG,33,80,33.0,10.7,4.0,3.4
Chris Bosh,2009,C,24,77,38.0,22.7,10.0,2.5
Hassan Adams,2009,SG,24,12,4.3,0.9,0.6,0.1
Jake Voskuhl,2009,C,31,38,6.3,0.9,1.6,0.2
Jason Kapono,2009,SG,27,80,22.9,8.2,2.0,1.3
Joey Graham,2009,SF,26,78,19.8,7.7,3.7,0.6
JosÃ© CalderÃ³n,2009,PG,27,68,34.3,12.8,2.9,8.9
Kris Humphries,2009,SF,23,29,9.1,3.9,2.4,0.3
Marcus Banks,2009,PG,27,22,9.4,2.5,0.8,1.3
Nathan Jawai,2009,PF,22,6,3.2,0.3,0.3,0.0
Patrick O'Bryant,2009,C,22,39,6.5,2.6,1.7,0.3
Pops Mensah-Bonsu,2009,PF,25,22,12.9,5.0,5.1,0.3
Quincy Douby,2009,PG,24,27,11.1,4.3,1.2,0.9
Roko UkiÄ‡,2009,PG,24,72,12.4,4.2,1.0,2.1
Shawn Marion,2009,SF,30,69,35.8,12.9,8.5,2.0
Andrea Bargnani,2016,C,30,46,13.8,6.6,2.1,0.4
Bojan BogdanoviÄ‡,2016,SF,26,79,26.8,11.2,3.2,1.3
Brook Lopez,2016,C,27,73,33.7,20.6,7.8,2.0
Chris McCullough,2016,PF,20,24,15.1,4.7,2.8,0.4
Donald Sloan,2016,PG,28,61,21.6,7.0,2.8,4.4
Henry Sims,2016,C,25,14,18.8,6.5,5.1,0.6
Jarrett Jack,2016,PG,32,32,32.1,12.8,4.3,7.4
Markel Brown,2016,SG,24,62,15.8,5.9,2.0,1.5
Rondae Hollis-Jefferson,2016,SF,21,29,21.2,5.8,5.3,1.5
Sean Kilpatrick,2016,SG,26,31,19.9,11.1,1.8,0.9
Sergey Karasev,2016,SF,22,40,10.0,2.4,1.5,0.9
Shane Larkin,2016,PG,23,78,22.4,7.3,2.3,4.4
Thaddeus Young,2016,PF,27,73,33.0,15.1,9.0,1.9
Thomas Robinson,2016,PF,24,71,12.9,4.3,5.1,0.6
Wayne Ellington,2016,SG,28,76,21.3,7.7,2.3,1.1
Willie Reed,2016,C,25,39,10.9,4.7,3.1,0.3
Andrei Kirilenko,2003,SF,21,80,27.7,12.0,5.3,1.7
Calbert Cheaney,2003,SG,31,81,29.0,8.6,3.5,2.0
Carlos Arroyo,2003,PG,23,44,6.5,2.8,0.6,1.2
DeShawn Stevenson,2003,SG,21,61,12.5,4.6,1.4,0.7
Greg Ostertag,2003,C,29,81,23.8,5.4,6.2,0.7
Jarron Collins,2003,C,24,22,19.1,5.5,2.7,0.6
John Amaechi,2003,C,32,50,9.5,2.0,1.5,0.4
John Stockton,2003,PG,40,82,27.7,10.8,2.5,7.7
Karl Malone,2003,PF,39,81,36.2,20.6,7.8,4.7
Mark Jackson,2003,PG,37,82,17.9,4.7,2.1,4.6
Matt Harpring,2003,SF,26,78,32.8,17.6,6.6,1.7
Scott Padgett,2003,PF,26,82,16.1,5.7,3.3,1.0
Tony Massenburg,2003,C,35,58,13.7,4.7,2.7,0.3
Andrei Kirilenko,2004,PF,22,78,37.1,16.5,8.1,3.1
Ben Handlogten,2004,C,30,17,10.1,4.0,3.2,0.4
Carlos Arroyo,2004,PG,24,71,28.3,12.6,2.6,5.0
Curtis Borchardt,2004,C,23,16,16.1,3.6,3.4,0.9
Gordan GiriÄek,2004,SF-SG,26,73,28.0,11.3,3.1,1.7
Greg Ostertag,2004,C,30,78,27.6,6.8,7.4,1.6
Jarron Collins,2004,C,25,81,21.4,6.0,3.9,1.0
Keon Clark,2004,PF,28,2,13.5,2.0,3.5,0.5
Matt Harpring,2004,SF,27,31,36.6,16.2,8.0,2.0
Michael Ruffin,2004,PF,27,41,17.9,2.2,5.0,1.0
Mikki Moore,2004,PF-C,28,32,12.3,4.1,2.6,0.6
Mo Williams,2004,SG,21,57,13.5,5.0,1.3,1.3
Paul Grant,2004,C,30,10,9.8,2.5,1.7,0.3
Raja Bell,2004,SG,27,82,24.6,11.2,2.9,1.3
RaÃ¼l LÃ³pez,2004,PG,23,82,19.7,7.0,1.9,3.7
Sasha PavloviÄ‡,2004,SF,20,79,14.5,4.8,2.0,0.8
Tom Gugliotta,2004,PF,34,55,14.9,2.9,3.4,1.1
Andrei Kirilenko,2007,SF,25,70,29.3,8.3,4.7,2.9
C.J. Miles,2007,SG,19,37,10.1,2.7,0.9,0.7
Carlos Boozer,2007,PF,25,74,34.6,20.9,11.7,3.0
Dee Brown,2007,PG,22,49,9.2,1.9,0.8,1.7
Derek Fisher,2007,SG,32,82,27.9,10.1,1.8,3.3
Deron Williams,2007,PG,22,80,36.9,16.2,3.3,9.3
