Player,Year,Pos,Age,G,MP,PTS,TRB,AST
Justin Williams,2008,C,23,23,5.3,1.5,2.1,0.0
Loren Woods,2008,C,29,7,2.4,0.9,0.1,0.3
Luis Scola,2008,PF,27,82,24.7,10.3,6.4,1.3
Luther Head,2008,SG,25,73,18.9,7.6,1.8,1.9
Mike Harris,2008,PF,24,17,9.4,3.6,3.2,0.2
Rafer Alston,2008,PG,31,74,34.1,13.1,3.5,5.3
Shane Battier,2008,SF,29,80,36.3,9.3,5.1,1.9
Steve Francis,2008,PG,30,10,19.9,5.5,2.3,3.0
Steve Novak,2008,SF,24,35,7.5,3.9,1.0,0.2
Tracy McGrady,2008,SG,28,66,37.0,21.6,5.1,5.9
Yao Ming,2008,C,27,55,37.2,22.0,10.8,2.3
Aaron Brooks,2009,PG,24,80,25.0,11.2,2.0,3.0
Brent Barry,2009,SG,37,56,15.3,3.7,1.7,1.4
Brian Cook,2009,PF,28,30,5.7,2.5,1.1,0.2
Carl Landry,2009,PF,25,69,21.3,9.2,5.0,0.6
Chuck Hayes,2009,C,25,71,12.1,1.3,3.5,0.6
Dikembe Mutombo,2009,C,42,9,10.7,1.8,3.7,0.0
James White,2009,SF,26,4,2.8,1.8,0.0,0.3
Joey Dorsey,2009,PF,25,3,2.0,0.7,0.3,0.3
Kyle Lowry,2009,PG,22,77,21.8,7.6,2.5,3.6
Luis Scola,2009,PF,28,82,30.3,12.7,8.8,1.5
Metta World Peace,2009,SF,29,69,35.5,17.1,5.2,3.3
Shane Battier,2009,SG,30,60,33.9,7.3,4.8,2.3
Tracy McGrady,2009,SG,29,35,33.7,15.6,4.4,5.0
Von Wafer,2009,SG,23,63,19.4,9.7,1.8,1.1
Yao Ming,2009,C,28,77,33.6,19.7,9.9,1.8
Aaron Brooks,2010,PG,25,82,35.6,19.6,2.6,5.3
Brian Cook,2010,PF,29,15,2.9,1.4,0.6,0.1
Chase Budinger,2010,SF,21,74,20.1,8.9,3.0,1.2
Chuck Hayes,2010,C,26,82,21.6,4.4,5.7,1.7
David Andersen,2010,C,29,63,14.1,5.8,3.3,0.7
Hilton Armstrong,2010,PF-C,25,33,10.2,2.2,2.5,0.6
Jared Jeffries,2010,PF-SF,28,70,25.6,5.3,4.1,1.4
Jermaine Taylor,2010,SG,23,31,9.8,4.1,1.5,0.5
Jordan Hill,2010,PF,22,47,13.3,5.2,3.7,0.4
Kevin Martin,2010,SG,26,46,35.5,20.6,3.6,2.4
Kyle Lowry,2010,PG,23,68,24.3,9.1,3.6,4.5
Luis Scola,2010,PF,29,82,32.6,16.2,8.6,2.1
Shane Battier,2010,SG,31,67,32.4,8.0,4.7,2.4
Trevor Ariza,2010,SF,24,72,36.5,14.9,5.6,3.8
Will Conroy,2010,PG,27,5,7.2,1.2,0.6,1.4
Aaron Brooks,2011,PG,26,59,21.8,10.7,1.3,3.9
Channing Frye,2011,PF,27,77,33.0,12.7,6.7,1.2
Gani Lawal,2011,PF,22,1,2.0,0.0,0.0,0.0
Garret Siler,2011,C,24,21,4.8,2.1,1.3,0.1
Grant Hill,2011,SF,38,80,30.1,13.2,4.2,2.5
Hakim Warrick,2011,PF,28,80,17.7,8.4,3.7,0.9
Jared Dudley,2011,SF,25,82,26.1,10.6,3.9,1.3
Josh Childress,2011,SG,27,54,16.6,5.0,2.9,0.8
Marcin Gortat,2011,C,26,80,25.4,10.2,7.9,0.9
MickaÃ«l PiÃ©trus,2011,SG-SF,28,57,19.4,7.2,2.2,0.6
Robin Lopez,2011,C,22,67,14.8,6.4,3.2,0.1
Steve Nash,2011,PG,36,75,33.3,14.7,3.5,11.4
Vince Carter,2011,SG,34,73,28.1,14.0,3.8,2.0
Zabian Dowdell,2011,PG,26,24,12.2,5.0,0.8,2.1
Aaron Brooks,2013,PG,28,53,18.8,7.1,1.5,2.2
Carlos Delfino,2013,SF,30,67,25.2,10.6,3.3,2.0
Chandler Parsons,2013,SF,24,76,36.3,15.5,5.3,3.5
Donatas MotiejÅ«nas,2013,PF,22,44,12.2,5.7,2.1,0.7
Francisco GarcÃ­a,2013,SG-SF,31,58,17.7,5.5,1.6,1.1
Greg Smith,2013,C,22,70,15.9,6.0,4.6,0.4
James Anderson,2013,SG-SF,23,39,10.3,3.8,1.8,1.1
James Harden,2013,SG,23,78,38.3,25.9,4.9,5.8
Jeremy Lin,2013,PG,24,82,32.2,13.4,3.0,6.1
Patrick Beverley,2013,PG,24,41,17.4,5.6,2.7,2.9
Scott Machado,2013,PG,22,6,3.5,1.3,0.2,1.0
Terrence Jones,2013,PF,21,19,14.5,5.5,3.4,0.8
Thomas Robinson,2013,PF,21,70,15.1,4.8,4.5,0.7
Tim Ohlbrecht,2013,C,24,3,4.0,1.0,0.3,0.3
Ã–mer AÅŸÄ±k,2013,C,26,82,30.0,10.1,11.7,0.9
Aaron Brooks,2014,PG,29,72,21.6,9.0,1.9,3.2
Anthony Randolph,2014,PF,24,43,12.3,4.8,2.8,0.7
Darrell Arthur,2014,SF,25,68,17.1,5.9,3.1,0.9
Evan Fournier,2014,SG,21,76,19.8,8.4,2.7,1.5
J.J. Hickson,2014,PF,25,69,26.9,11.8,9.2,1.4
JaVale McGee,2014,C,26,5,15.8,7.0,3.4,0.4
Jan VeselÃ½,2014,PF,23,54,14.4,3.6,3.5,0.4
Kenneth Faried,2014,PF,24,80,27.2,13.7,8.6,1.2
Nate Robinson,2014,PG,29,44,19.7,10.4,1.8,2.5
Quincy Miller,2014,PF,21,52,15.2,4.9,2.8,0.5
Randy Foye,2014,SG,30,81,30.7,13.2,2.9,3.5
Timofey Mozgov,2014,C,27,82,21.6,9.4,6.4,0.8
Ty Lawson,2014,PG,26,62,35.8,17.6,3.5,8.8
Wilson Chandler,2014,SF,26,62,31.1,13.6,4.7,1.8
Aaron Brooks,2015,PG,30,82,23.0,11.6,2.0,3.2
Cameron Bairstow,2015,PF,24,18,3.6,0.6,0.4,0.1
Derrick Rose,2015,PG,26,51,30.0,17.7,3.2,4.9
Doug McDermott,2015,SF,23,36,8.9,3.0,1.2,0.2
E'Twaun Moore,2015,SG,25,56,9.0,2.7,0.8,0.6
Jimmy Butler,2015,SG,25,65,38.7,20.0,5.8,3.3
Joakim Noah,2015,C,29,67,30.6,7.2,9.6,4.7
Kirk Hinrich,2015,SG,34,66,24.4,5.7,1.8,2.2
Mike Dunleavy,2015,SF,34,63,29.2,9.4,3.9,1.8
Nazr Mohammed,2015,C,37,23,5.6,1.2,1.7,0.1
Nikola MirotiÄ‡,2015,PF,23,82,20.2,10.2,4.9,1.2
Pau Gasol,2015,PF,34,78,34.4,18.5,11.8,2.7
Taj Gibson,2015,PF,29,62,27.3,10.3,6.4,1.1
Tony Snell,2015,SF,23,72,19.6,6.0,2.4,0.9
Aaron Brooks,2016,PG,31,69,16.1,7.1,1.5,2.6
Bobby Portis,2016,PF,20,62,17.8,7.0,5.4,0.8
Cameron Bairstow,2016,C,25,18,5.7,1.9,1.6,0.3
Cristiano FelÃ­cio,2016,C,23,31,10.4,3.4,3.3,0.8
Derrick Rose,2016,PG,27,66,31.8,16.4,3.4,4.7
Doug McDermott,2016,SF,24,81,23.0,9.4,2.4,0.7
E'Twaun Moore,2016,SG,26,59,21.4,7.5,2.3,1.7
Jimmy Butler,2016,SG,26,67,36.9,20.9,5.3,4.8
Joakim Noah,2016,C,30,29,21.9,4.3,8.8,3.8
Justin Holiday,2016,SG,26,53,14.6,4.5,1.7,1.1
Mike Dunleavy,2016,SF,35,31,22.7,7.2,2.7,1.3
Nikola MirotiÄ‡,2016,PF,24,66,24.9,11.8,5.5,1.5
